City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Asau,RO,78.28,moderate rain,46.4333,26.4,Casa Mika Ciobanus
1,Kongolo,CD,85.41,broken clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
6,Katsuura,JP,80.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
8,College,US,75.2,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
11,Newton,US,70.14,overcast clouds,42.337,-71.2092,Sheraton Boston Needham Hotel
12,Hithadhoo,MV,80.65,heavy intensity rain,-0.6,73.0833,Scoop Guest House
13,Hasaki,JP,75.6,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
15,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Puyo,EC,82.87,few clouds,-1.4667,-77.9833,Hosteria Kindi Wasi
18,Rikitea,PF,73.92,scattered clouds,-23.1203,-134.9692,People ThankYou
22,Dabakala,CI,73.65,broken clouds,8.3667,-4.4333,Hôtel Campement
23,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
24,Santiago Del Estero,AR,77.25,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
30,Bethel,US,80.94,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
33,Oblivskaya,RU,77.45,overcast clouds,48.5362,42.5014,Мотель Каприз
34,Mahebourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
40,Butaritari,KI,83.98,few clouds,3.0707,172.7902,Isles Sunset Lodge
45,Lethem,GY,86.65,broken clouds,3.3803,-59.7968,Savannah Inn
46,Cururupu,BR,82.44,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
47,Jamestown,US,82.29,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
49,Gwadar,PK,81.18,few clouds,25.1216,62.3254,Sadaf Resort
51,Belmonte,BR,70.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
54,Sao Filipe,CV,78.8,overcast clouds,14.8961,-24.4956,Hotel Xaguate
56,Savannah Bight,HN,86.05,clear sky,16.45,-85.85,Villa on Dunbar Rock
58,Arraial Do Cabo,BR,73.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
59,Labuhan,ID,76.05,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
61,Aden,YE,86.67,broken clouds,12.7794,45.0367,Sama Emirate Hotel
66,Hilo,US,78.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
70,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
72,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
73,Kavieng,PG,82.04,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
74,Villarrica,PY,73.72,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
76,Tura,IN,75.99,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
77,Fort-Shevchenko,KZ,83.23,broken clouds,44.5086,50.263,Oasis hotel Bautino
78,Darab,IR,89.83,overcast clouds,28.7519,54.5444,Naghshe shapoor Hotel
