City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Asau,RO,2021-08-05 19:50:05,46.4333,26.4,78.28,63,98,3.49,moderate rain
1,Kongolo,CD,2021-08-05 19:50:05,-5.3833,27.0,85.41,30,67,2.95,broken clouds
2,Belaya Gora,RU,2021-08-05 19:50:05,68.5333,146.4167,40.55,86,100,4.07,overcast clouds
3,Leningradskiy,RU,2021-08-05 19:50:06,69.3833,178.4167,40.37,95,97,3.13,overcast clouds
4,Kodiak,US,2021-08-05 19:48:49,57.79,-152.4072,60.31,77,90,0.0,light rain
5,Nemuro,JP,2021-08-05 19:50:07,43.3236,145.575,68.56,96,71,3.29,broken clouds
6,Katsuura,JP,2021-08-05 19:50:07,35.1333,140.3,80.71,87,62,6.98,broken clouds
7,Busselton,AU,2021-08-05 19:50:07,-33.65,115.3333,39.09,82,0,6.11,clear sky
8,College,US,2021-08-05 19:49:27,64.8569,-147.8028,75.2,56,20,0.0,smoke
9,Cherskiy,RU,2021-08-05 19:48:33,68.75,161.3,47.48,77,49,4.72,scattered clouds
10,Punta Arenas,CL,2021-08-05 19:49:19,-53.15,-70.9167,46.51,61,75,14.97,broken clouds
11,Newton,US,2021-08-05 19:45:09,42.337,-71.2092,70.14,89,90,1.99,overcast clouds
12,Hithadhoo,MV,2021-08-05 19:49:49,-0.6,73.0833,80.65,78,99,6.98,heavy intensity rain
13,Hasaki,JP,2021-08-05 19:50:08,35.7333,140.8333,75.6,84,44,4.09,scattered clouds
14,Ambilobe,MG,2021-08-05 19:50:09,-13.2,49.05,68.63,72,37,3.22,scattered clouds
15,Kapaa,US,2021-08-05 19:50:09,22.0752,-159.319,82.72,75,40,5.01,light rain
16,Puyo,EC,2021-08-05 19:50:09,-1.4667,-77.9833,82.87,41,20,3.44,few clouds
17,Kaitangata,NZ,2021-08-05 19:50:10,-46.2817,169.8464,44.92,86,71,4.99,broken clouds
18,Rikitea,PF,2021-08-05 19:50:10,-23.1203,-134.9692,73.92,75,29,18.16,scattered clouds
19,Saint-Philippe,RE,2021-08-05 19:50:10,-21.3585,55.7679,67.55,81,43,11.16,light rain
20,Hobart,AU,2021-08-05 19:48:33,-42.8794,147.3294,55.06,60,40,3.0,scattered clouds
21,Fraserburgh,GB,2021-08-05 19:50:10,57.6874,-2.0184,60.44,84,95,21.81,overcast clouds
22,Dabakala,CI,2021-08-05 19:50:11,8.3667,-4.4333,73.65,89,83,4.25,broken clouds
23,Avarua,CK,2021-08-05 19:50:11,-21.2078,-159.775,75.25,69,75,2.3,broken clouds
24,Santiago Del Estero,AR,2021-08-05 19:50:11,-27.7951,-64.2615,77.25,19,54,10.04,broken clouds
25,Zhigansk,RU,2021-08-05 19:49:44,66.7697,123.3711,52.03,52,0,6.93,clear sky
26,Bluff,NZ,2021-08-05 19:48:21,-46.6,168.3333,37.8,86,74,7.2,broken clouds
27,Saint-Augustin,CA,2021-08-05 19:50:12,51.226,-58.6502,69.73,66,100,21.72,overcast clouds
28,Vestmannaeyjar,IS,2021-08-05 19:50:12,63.4427,-20.2734,56.41,79,24,6.11,few clouds
29,Kichmengskiy Gorodok,RU,2021-08-05 19:50:12,59.9816,45.7854,52.32,71,12,4.09,few clouds
30,Bethel,US,2021-08-05 19:47:17,41.3712,-73.414,80.94,73,90,8.05,overcast clouds
31,Tombouctou,ML,2021-08-05 19:50:13,20.0,-3.0,101.46,25,54,11.81,broken clouds
32,Albany,US,2021-08-05 19:50:13,42.6001,-73.9662,82.17,57,67,2.62,broken clouds
33,Oblivskaya,RU,2021-08-05 19:50:13,48.5362,42.5014,77.45,34,97,12.21,overcast clouds
34,Mahebourg,MU,2021-08-05 19:50:13,-20.4081,57.7,70.09,68,40,11.5,light rain
35,Husavik,IS,2021-08-05 19:50:14,66.0449,-17.3389,57.11,82,70,6.6,broken clouds
